time,mag,magerr,band
52075.337199,19.059,0.012,r
52075.338032,18.933,0.015,i
52075.338866,20.737,0.091,u
52075.339699,18.867,0.044,z
52075.340532,19.413,0.013,g
52197.145845,18.839,0.012,r
52197.146678,18.797,0.015,i
52197.147512,20.307,0.053,u
52197.148345,18.753,0.039,z
52197.149178,18.93,0.01,g
52557.183695,19.364,0.017,r
52557.184528,19.206,0.022,i
52557.185362,20.909,0.122,u
52557.186195,19.127,0.061,z
52557.187028,19.734,0.016,g
52578.079773,18.968,0.014,r
52578.080606,18.866,0.019,i
52578.08144,20.575,0.072,u
52578.082273,18.807,0.046,z
52578.083106,19.22,0.011,g
52929.11,19.312,0.015,r
52929.110833,19.182,0.019,i
52929.111667,20.989,0.097,u
52929.1125,19.096,0.053,z
52929.113333,19.7,0.015,g
52934.090158,18.922,0.012,r
52934.090991,18.831,0.016,i
52934.091825,20.494,0.075,u
52934.092658,18.847,0.05,z
52934.093491,19.135,0.01,g
52936.086082,19.25,0.013,r
52936.086915,19.11,0.017,i
52936.087749,20.942,0.078,u
52936.088582,18.894,0.045,z
52936.089415,19.714,0.033,g
53243.271292,19.286,0.022,r
53243.272125,19.047,0.022,i
53243.272959,20.785,0.166,u
53243.273792,18.921,0.054,z
53243.274625,19.558,0.026,g
53270.150148,19.008,0.017,r
53270.150982,18.939,0.02,i
53270.151815,20.622,0.106,u
53270.153482,19.363,0.034,g
53272.200095,19.372,0.026,r
53272.200928,19.188,0.026,i
53272.201762,20.627,0.172,u
53272.202595,19.066,0.066,z
53272.203428,19.688,0.032,g
53288.127299,19.318,0.016,r
53288.128132,19.193,0.021,i
53288.128966,21.072,0.132,u
53288.129799,19.143,0.063,z
53288.130632,19.741,0.016,g
53302.122968,19.251,0.02,r
53302.123801,19.064,0.021,i
53302.124635,20.882,0.167,u
53302.125468,19.126,0.056,z
53302.126301,19.644,0.026,g
53312.078499,19.135,0.015,r
53312.079333,19.012,0.022,i
53312.080166,20.886,0.113,u
53312.080999,19.0,0.073,z
53312.081833,19.515,0.017,g
53314.079695,19.431,0.018,r
53314.080528,19.236,0.024,i
