Num,Type,Per
4099,ab,0.641754351271
13350,ab,0.547987422171
15927,ab,0.612262983773
20406,ab,0.631853138777
21992,ab,0.625880355362
27887,c,0.31149403602
46988,ab,0.572961748738
74260,ab,0.612522626959
75433,ab,0.555702765029
75486,ab,0.562574562809
91658,ab,0.647260858223
92912,ab,0.53879143865
93149,ab,0.509529275209
98874,ab,0.738329601782
114272,ab,0.793004216445
128795,ab,0.640023909169
133858,ab,0.641975699851
151276,ab,0.603455885245
156391,ab,0.907496629521
172870,ab,0.550572664997
174197,c,0.384879150471
181100,ab,0.527015758519
183558,c,0.333306190541
188444,ab,0.517138044553
190889,ab,0.515945314351
191474,ab,0.592173572748
236818,c,0.339003694734
244803,ab,0.580121785648
260984,ab,0.643236994463
276162,ab,0.642761030656
288008,c,0.275605521495
289242,c,0.291292667054
293282,ab,0.515991620271
315111,ab,0.601654883064
318024,c,0.35850817538
323707,ab,0.536350731455
324172,ab,0.626164075273
329948,ab,0.673152608812
334937,ab,0.671164657116
337335,ab,0.613193437285
343892,ab,0.597313404422
349151,ab,0.590300782399
359035,ab,0.531061982522
376465,c,0.432427428882
377927,ab,0.480918681776
389821,ab,0.456040319044
396003,ab,0.600651640806
398718,ab,0.505623126991
402316,ab,0.54307623784
403009,ab,0.589419729139
404325,ab,0.587521807809
406141,ab,0.498291619669
415496,ab,0.546682232921
423548,c,0.335141696214
429508,c,0.350861318451
431701,ab,0.606785148394
433099,ab,0.643172792954
444248,ab,0.460112173616
452872,ab,0.578921088225
470994,c,0.346793702163
479770,ab,0.486398264091
490555,ab,0.630911694543
495429,ab,0.630760808405
495485,ab,0.71532981193
517394,ab,0.686835942046
519433,ab,0.469392103369
539796,c,0.328688653024
543302,ab,0.626807812976
557177,ab,0.556892616047
562035,c,0.342127342322
586767,c,0.38901736067
596771,ab,0.744957258204
611173,ab,0.531023592279
627003,ab,0.617988666885
638540,c,0.336404532462
685614,ab,0.588987757118
686094,ab,0.512181308935
688001,ab,0.5877128845
695960,ab,0.635454835852
704542,ab,0.627313656395
719834,ab,0.687576257588
719918,ab,0.623365049261
724413,ab,0.650548488474
728020,ab,0.618615523813
744810,ab,0.58611445137
747380,c,0.39419605446
765345,c,0.262327714715
778130,c,0.305165284445
785754,ab,0.682099803504
795010,ab,0.454669279378
824910,ab,0.536932273204
834454,ab,0.576610027611
834891,ab,0.570872078758
837937,ab,0.518478604167
842229,ab,0.717405717621
844778,c,0.339591269224
848438,ab,0.469270094788
850835,c,0.40812719553
860305,ab,0.503992488578
866986,ab,0.549881497762
871783,ab,0.569410914111
873466,ab,0.631665098859
879471,ab,0.507846617882
887288,ab,0.539484762201
921268,ab,0.581607981909
952930,ab,0.638969182657
959802,c,0.378616771287
962043,ab,0.636774835461
965946,ab,0.641688738048
974754,ab,0.587908147105
981664,ab,0.606049003584
985847,ab,0.583379425265
1013184,ab,0.614318300907
1019544,ab,0.622446825464
1027882,ab,0.446054610516
1052471,ab,0.483990154724
1056152,ab,0.587522276242
1060996,ab,0.508395001373
1061631,ab,0.575894767255
1078860,c,0.395469574869
1087206,ab,0.557552667686
1091627,c,0.312324736574
1092650,ab,0.532723258513
1094455,ab,0.559209641302
1096833,ab,0.554791623256
1102005,c,0.3298022767
1104006,ab,0.542664604021
1116811,ab,0.670265455378
1117692,ab,0.542616712208
1123380,ab,0.586535092564
1132009,ab,0.585812448979
1135062,c,0.349173384073
1141088,ab,0.758405223932
1141712,c,0.358943659988
1151398,ab,0.615207609048
1157760,ab,0.602961410714
1164401,ab,0.486791596147
1190623,c,0.315616665162
1191610,ab,0.46523431098
1200092,ab,0.52997322774
1203504,ab,0.459102100742
1217801,c,0.340179379813
1223933,ab,0.797848004434
1230610,ab,0.565396620995
1231908,ab,0.498564489439
1260383,ab,0.585823502411
1265892,ab,0.499788459515
1286634,ab,0.604839769638
1296407,ab,0.708586946896
1301781,ab,0.601052861876
1308429,ab,0.636983374644
1320077,ab,0.602280106502
1335377,ab,0.505989312549
1342595,c,0.284336968948
1343911,ab,0.682794019093
1358209,ab,0.555270315731
1359573,c,0.269456461915
1374620,ab,0.607067809222
1375324,ab,0.500316110324
1386131,ab,0.505346920156
1399304,ab,0.616113524717
1404827,ab,0.532961745677
1411677,ab,0.631356379875
1414940,ab,0.566206776889
1415276,ab,0.580769203352
1420164,ab,0.655639046387
1421011,ab,0.602795918944
1438472,ab,0.583339323964
1452363,ab,0.459303362229
1463748,ab,0.567901498598
1464306,ab,0.603992646399
1469157,ab,0.495867899144
1477740,c,0.297828481904
1478867,c,0.336589855659
1482164,c,0.395282732336
1486075,ab,0.585401410807
1493454,ab,0.561335434998
1494655,ab,0.467452477545
1496687,c,0.301655136155
1500601,ab,0.502025921903
1503067,ab,0.658608658239
1516296,c,0.350514843873
1521737,ab,0.47387337598
1529930,ab,0.636128907018
