time,mag,magerr,band
58856.55671299994,20.29680061340332,0.2294159978628158,g
58859.49560189992,19.051000595092773,0.1280110031366348,R
58872.447511599865,17.835800170898438,0.0641449987888336,g
58872.55262729991,17.881500244140625,0.0631439983844757,R
58875.49456019979,17.92650032043457,0.0676549971103668,g
58875.53038189979,17.931499481201172,0.0584280006587505,R
58878.50776620023,18.10330009460449,0.0821999981999397,g
58878.549074099865,18.04960060119629,0.083416000008583,R
58881.49214120023,18.38089942932129,0.0772269964218139,g
58881.56054400001,18.22330093383789,0.0659049972891807,R
58884.47494209977,18.648500442504883,0.0863580033183097,g
58884.55292819999,18.41819953918457,0.0858040004968643,R
58887.47372689983,19.026199340820312,0.1371500045061111,g
58890.47245369991,18.53019905090332,0.1533609926700592,R
58893.47061339999,19.563800811767575,0.1397829949855804,g
58893.51648150012,18.618900299072266,0.0938839986920356,R
58898.445983800106,20.23259925842285,0.1557749956846237,g
58898.492337999865,18.867599487304688,0.0718000009655952,R
58899.42777779978,20.12360000610352,0.2091580033302307,g
58903.45418980019,19.144500732421875,0.1044889986515045,R
58904.44797449978,20.509300231933597,0.2582780122756958,g
58906.46170140011,19.209199905395508,0.1245089992880821,R
58906.53715279978,20.239500045776367,0.2193309962749481,g
58908.463993099984,19.542999267578125,0.1182669997215271,R
58908.53295140015,20.59079933166504,0.3101789951324463,g
58913.4983680998,19.593599319458008,0.1943729966878891,R
58913.5109490999,20.727399826049805,0.3547640144824981,g
58914.51276620012,19.761743545532227,0.1595213413238525,R
