ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
17.394699096679688,58425.31380790007,0.12891599535942078,R,1
14.56070041656494,58431.23702549982,0.02499900013208389,g,1
14.569600105285645,58431.2922685002,0.02535099908709526,R,1
13.911299705505373,58441.253634300076,0.025738000869750977,g,1
14.754899978637695,58456.25361109991,0.026657000184059143,R,1
16.174800872802734,58464.2385764001,0.04449599981307984,g,1
15.307499885559082,58471.18868059991,0.029968999326229095,R,1
16.621099472045902,58474.107303199824,0.04546299949288368,g,1
16.126100540161133,58474.31092590001,0.046139001846313484,R,1
16.815099716186527,58481.26715280023,0.06811899691820145,g,1
15.784299850463867,58481.29547449992,0.026186000555753708,R,1
16.914199829101562,58487.17502309987,0.0632610023021698,g,1
16.534599304199222,58487.2496181,0.03911300003528595,R,1
17.08609962463379,58491.17783559999,0.06393200159072876,g,1
16.679100036621097,58491.216018499814,0.05485400184988976,R,1
17.117700576782227,58494.163611100055,0.05843999981880187,g,1
16.784099578857422,58503.12564809992,0.06503000110387802,R,1
17.35580062866211,58510.14645829982,0.09116800129413603,g,1
17.757999420166016,58540.11141199991,0.07024600356817245,R,1
17.740793228149414,59152.31635419978,0.12352745234966278,g,1
