time,mag,magerr,band
59336.27405089978,20.115100860595703,0.1738000065088272,g
59338.29084490007,19.52870178222656,0.1594951152801513,R
59338.31663190015,19.430419921875,0.1052534207701683,g
59340.29436339997,19.223737716674805,0.1099659651517868,R
59340.33734950004,19.061908721923828,0.0895142182707786,g
59342.295497700106,19.022436141967773,0.1162115484476089,R
59344.31258099992,18.694900512695312,0.0631610676646232,g
59346.29567130003,18.778858184814453,0.0732077285647392,R
59346.31501160003,18.569480895996094,0.0645448863506317,g
59348.310000000056,18.750638961791992,0.0726376920938491,R
59352.19074069988,18.713001251220703,0.1249180138111114,g
59354.23234950006,18.71127319335937,0.0909757688641548,R
59356.21305559995,18.75896453857422,0.1152742132544517,g
59366.22416670015,19.30453109741211,0.1100168377161026,R
59368.19079860021,19.870397567749023,0.1467472910881042,g
59368.22767359996,19.40517234802246,0.121648721396923,R
59370.21442130022,20.23979949951172,0.1682599931955337,g
59372.30900460016,19.61870002746582,0.2687210142612457,R
59376.21394680021,20.4552001953125,0.2007299959659576,g
59392.19318290008,20.31899070739746,0.2099849283695221,R
