ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
19.902700424194336,58980.1962036998,0.1399099975824356,g,1
20.021499633789066,58980.245821800076,0.13101999461650848,R,1
18.476600646972656,58991.18004629994,0.05989800021052361,g,1
18.524700164794922,58994.20460649999,0.06132899969816207,R,1
18.47520065307617,58997.17975689982,0.06515300273895264,g,1
18.481800079345703,58997.234861100085,0.07242800295352936,R,1
18.53849983215332,59000.23943290021,0.094820998609066,g,1
18.898399353027344,59009.174213000115,0.10394799709320067,R,1
19.68709945678711,59017.219745399896,0.1402910053730011,g,1
19.49355125427246,59026.19820600003,0.14348095655441284,R,1
