ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
16.915399551391598,58472.473194399856,0.045435000211000436,g,1
16.692699432373047,58475.49770830013,0.03363899886608124,R,1
16.285900115966793,58480.53393519996,0.03272800147533417,g,1
16.418899536132812,58480.55057869991,0.028957000002264977,R,1
16.41469955444336,58487.50925929983,0.03015200048685074,g,1
16.47439956665039,58487.55619210005,0.03337100148200989,R,1
17.694799423217773,58505.488645799924,0.10321299731731416,g,1
17.23430061340332,58508.492476900115,0.03993399813771248,R,1
18.19960021972656,58511.511377300136,0.07931700348854065,g,1
17.281499862670902,58511.553888900205,0.05110599845647812,R,1
18.94070053100586,58526.46615740005,0.11251799762248993,g,1
18.03510093688965,58526.512905099895,0.07366999983787538,R,1
19.192699432373047,58538.44877310004,0.2716299891471863,g,1
18.549299240112305,58538.48702549982,0.14851200580596924,R,1
19.133899688720703,58541.43671299982,0.08131100237369537,g,1
18.576900482177734,58541.491122699816,0.06213900074362755,R,1
19.229999542236328,58547.35969909978,0.11666599661111833,g,1
19.11720085144043,58556.42709490005,0.1331380009651184,R,1
19.279800415039066,58560.281643500086,0.21298100054264069,g,1
19.5177001953125,58567.38596059987,0.1365939974784851,R,1
19.5575008392334,58572.38762729988,0.14506100118160248,g,1
19.529800415039066,58572.42466440005,0.11265800148248672,R,1
19.635099411010746,58575.34002309991,0.09832599759101868,g,1
19.937700271606445,58580.38303240017,0.15516500174999234,R,1
19.83009910583496,58580.42244210001,0.16589200496673584,g,1
19.796100616455078,58583.33784720022,0.17216700315475464,R,1
19.74519920349121,58583.39097219986,0.18552500009536746,g,1
19.985599517822266,58586.341250000056,0.19490200281143188,R,1
20.141300201416016,58608.30505790003,0.18056100606918332,g,1
20.70199966430664,58608.35170139978,0.2936750054359436,R,1
20.100099563598636,58612.304490699906,0.1681399941444397,g,1
20.828899383544922,58612.347789399784,0.2524609863758087,R,1
20.229700088500977,58616.2875926001,0.2545439898967743,g,1
20.762699127197266,58616.30842590006,0.2915250062942505,R,1
20.659900665283203,58660.19643520005,0.192187175154686,g,1
