ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
20.19339942932129,58794.20651620022,0.3012869954109192,g,1
19.423900604248047,58796.108645800035,0.1721549928188324,R,1
18.848899841308594,58800.1926851999,0.14470499753952026,g,1
18.746000289916992,58801.29041669984,0.11764100193977355,R,1
18.60280036926269,58802.22224539983,0.104933999478817,g,1
18.671600341796875,58811.16575230006,0.12771500647068024,R,1
18.66860008239746,58811.22814809997,0.10158500075340272,g,1
18.68950080871582,58812.24332180014,0.09581100195646286,R,1
18.563499450683594,58814.11112269992,0.31005099415779114,g,1
19.388900756835934,58831.10240740003,0.1348080039024353,R,1
20.68709945678711,58846.09885419997,0.2263219952583313,g,1
19.99385643005371,58846.11160880001,0.14714176952838898,R,1
