ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
20.24837875366211,59256.455405099776,0.1853092908859253,R,1
18.50033950805664,59264.48618059978,0.07258806377649307,g,1
18.410932540893555,59264.52520829997,0.06891008466482162,R,1
18.38450050354004,59266.50782410009,0.10590700060129166,g,1
18.109094619750977,59268.452893500216,0.061214607208967216,R,1
18.081989288330078,59270.4250115999,0.08400367945432663,g,1
18.1242618560791,59272.46799769998,0.06389280408620834,R,1
18.184791564941406,59275.49034720008,0.0720294639468193,g,1
18.19774436950684,59278.48334489996,0.06016878038644791,R,1
18.29037857055664,59278.52346060006,0.06544677168130875,g,1
18.378145217895508,59282.50724539999,0.05958172306418419,R,1
19.644399642944336,59295.32938659983,0.29861998558044434,g,1
18.84105682373047,59297.40550930007,0.1078563630580902,R,1
19.70870018005371,59297.444363399874,0.22043399512767792,g,1
19.097900390625,59306.47467589984,0.10114599764347076,R,1
20.58169937133789,59308.40754629998,0.31887999176979065,g,1
19.31570053100586,59308.43754629978,0.11975999921560287,R,1
20.502099990844727,59310.42572919978,0.1938599944114685,g,1
19.494054794311523,59312.40048609999,0.16347332298755646,R,1
20.982799530029297,59312.421006899785,0.33508801460266113,g,1
19.985519409179688,59336.37436340004,0.18501436710357666,R,1
