time,mag,magerr,band
58556.42478010012,19.143600463867188,0.1051070019602775,R
58560.28620370012,17.96940040588379,0.0688349977135658,g
58567.3901505,17.499000549316406,0.0488720014691352,R
58572.347986099776,17.418899536132812,0.0478370003402233,g
58572.369340300094,17.437999725341797,0.057872001081705,R
58575.34093749989,17.531099319458008,0.0341969989240169,g
58580.364062500186,17.83009910583496,0.0498219989240169,R
58580.40575229982,17.815900802612305,0.0482119992375373,g
58583.30620370014,18.065900802612305,0.0630170032382011,R
58583.36278939992,18.075000762939453,0.0651350021362304,g
58586.346319399774,18.18779945373535,0.0769279971718788,R
58586.40572920023,18.360700607299805,0.0684560015797615,g
58589.30436340021,18.20120048522949,0.1088979989290237,R
58596.24592590006,19.223100662231445,0.0895249992609024,g
58606.29770829994,18.738300323486328,0.0886569991707801,R
58606.42585649993,19.88710021972656,0.1408240050077438,g
58612.239988400135,19.20829963684082,0.0796869993209838,R
58612.28363429988,20.18819999694824,0.1468079984188079,g
58616.1853588,19.199899673461918,0.1096860021352768,R
58616.258495400194,20.019800186157227,0.2233169972896576,g
58619.32582180016,19.3080997467041,0.1887210011482238,R
58628.22234949982,20.35700035095215,0.1973460018634796,g
58632.26666670013,19.79179954528809,0.1402229964733123,R
58635.229016200174,20.552400588989254,0.1805830001831054,g
58635.2589004999,20.00550079345703,0.1415060013532638,R
58638.1965855998,20.67490005493164,0.2019059956073761,g
58638.23833330022,20.02910041809082,0.1456589996814727,R
58641.20796300005,20.587099075317383,0.2185810059309005,g
58641.28761570016,20.105348587036133,0.1420146524906158,R
