time,mag,magerr,band
58872.436550899874,18.48069953918457,0.0987790003418922,g
58872.56187500013,18.40279960632324,0.0958930030465126,R
58878.50311340019,17.622800827026367,0.0562219992280006,g
58878.56275459984,17.767900466918945,0.059663999825716,R
58881.50505790021,17.516399383544922,0.0509440004825592,g
58881.52645830018,17.659299850463867,0.0501240007579326,R
58884.46358799981,17.570899963378906,0.0650340020656585,g
58884.54159720009,17.71430015563965,0.0579559989273548,R
58887.44440970011,17.694700241088867,0.068461000919342,g
58893.5220718002,18.0718994140625,0.0824949964880943,R
58898.45854170015,18.60810089111328,0.0659390017390251,g
58906.49994210014,18.410600662231445,0.1074400022625923,R
58911.43123839982,19.91029930114746,0.2241100072860717,g
58911.47868059995,18.575193405151367,0.1145668998360633,R
