time,mag,magerr,band
58272.25937499991,19.483142852783203,0.074286513030529,g
58278.28314810013,18.98660087585449,0.0545650012791156,R
58278.34872689983,18.86543273925781,0.0406450293958187,g
58281.216874999925,18.813600540161133,0.0471680015325546,R
58284.259884300176,18.741300582885746,0.0374980010092258,g
58287.28671299992,18.613569259643555,0.0366077832877635,R
58290.219155100174,18.98912811279297,0.1028233915567398,g
58290.32781249983,18.56095123291016,0.065528966486454,R
58299.201053199824,19.87430000305176,0.2019210010766983,g
58302.30466439994,19.0218505859375,0.1511033475399017,R
58308.200925900135,20.58390045166016,0.2887809872627258,g
58618.22788190004,19.12516593933105,0.1183250546455383,R
