time,mag,magerr,band
58376.20657410007,20.558300018310547,0.2544800043106079,R
58376.29032409983,20.644500732421875,0.3291240036487579,g
58379.27420140011,19.83489990234375,0.1407050043344497,R
58382.2360069002,19.37310028076172,0.1459790021181106,g
58382.305416699965,19.4507999420166,0.1624550074338913,R
58385.14899310004,18.943700790405277,0.1290989965200424,g
58385.22769680014,19.212400436401367,0.1141230016946792,R
58388.12849539984,19.06100082397461,0.1037430018186569,g
58388.22645829991,19.12070083618164,0.1174409985542297,R
58400.119884300046,19.47966194152832,0.0986313819885253,g
58400.184444400016,19.407058715820312,0.1010021939873695,R
