ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
19.43709945678711,58767.4854629999,0.17822100222110748,g,1
19.02879905700684,58770.482743099805,0.16833800077438354,R,1
18.3302001953125,58779.50200230022,0.07790900021791458,g,1
18.594900131225586,58783.496574100114,0.13370400667190552,R,1
18.67609977722168,58785.469363399774,0.07622499763965608,g,1
18.62240028381348,58785.501099499874,0.08519800007343292,R,1
18.99679946899414,58788.50324069987,0.09412900358438492,g,1
19.047100067138672,58791.480543999925,0.1095929965376854,R,1
19.613500595092773,58794.54496529978,0.11620499938726425,g,1
19.24508476257324,58800.5238194,0.15304666757583618,R,1
