time,mag,magerr,band
58764.25142360013,19.200000762939453,0.1480029970407486,g
58774.22390050022,18.71470069885254,0.0607400014996528,R
58777.18431709986,18.827600479125977,0.0831229984760284,g
58781.244108799845,18.828100204467773,0.1248119994997978,R
58785.2191319,19.259300231933597,0.1000839993357658,g
58785.24627309991,19.028200149536133,0.0926679968833923,R
58788.18085649982,19.68980026245117,0.1566890031099319,g
58788.22942129988,19.226299285888672,0.1266729980707168,R
58791.16807870008,19.97220039367676,0.3297629952430725,g
58796.10671300022,19.417552947998047,0.1905817985534668,R
