time,mag,magerr,band
59060.44340279978,20.88680076599121,0.2783820033073425,R
59062.41998839984,20.078100204467773,0.2711859941482544,g
59063.402338000014,19.59245491027832,0.181440532207489,R
59063.46518519986,19.546356201171875,0.1681508123874664,g
59064.42190970015,19.425277709960938,0.18256875872612,R
59064.49962959997,19.18907928466797,0.1470780372619629,g
59065.45343750017,19.192495346069336,0.1436039805412292,R
59066.42475689994,18.83987045288086,0.155987873673439,g
59066.46344910003,19.040584564208984,0.1251207590103149,R
59067.39875000017,18.66587257385254,0.1186371967196464,g
59067.44468750013,18.8201904296875,0.071169838309288,R
59072.453530100174,18.260669708251957,0.0693610459566116,g
59072.47572920006,18.501712799072266,0.0677726939320564,R
59075.42590280017,18.3134822845459,0.0623451694846153,g
59076.40857640002,18.39223289489746,0.0573074594140052,R
59076.47271989984,18.255390167236328,0.05559553951025,g
59079.425763899926,18.422775268554688,0.0544600635766983,R
59080.41498839995,18.406478881835938,0.0870337709784507,g
59081.41217589984,18.512060165405277,0.0644490346312522,R
59082.420347199775,18.48212242126465,0.0641476586461067,g
59084.51217589993,18.647375106811523,0.0809500068426132,R
59085.44077550015,18.6939697265625,0.0684991329908371,g
59086.39969909983,18.791244506835938,0.0693610161542892,R
59086.505636599846,18.7244815826416,0.0910384804010391,g
59087.45387730002,18.78256607055664,0.0945574939250946,R
59087.47609949997,18.86624336242676,0.072088174521923,g
59088.40202549985,18.88934135437012,0.0693696066737175,R
59089.41185190016,18.972509384155277,0.0995002165436744,g
59089.439919000026,18.955841064453125,0.0733029171824455,R
59090.37052079989,19.058677673339844,0.1030803397297859,g
59090.48815969983,19.022186279296875,0.0714720413088798,R
59092.33879629988,19.27103042602539,0.1741393506526947,g
59094.39918980002,19.14310073852539,0.2030059993267059,R
59095.34319439996,19.1287841796875,0.188146024942398,g
59106.378576400224,19.400146484375,0.1102557554841041,R
59107.37243060023,20.377099990844727,0.2196750044822693,g
59109.41988429986,19.634300231933597,0.1166179999709129,R
59112.3285995,20.941999435424805,0.2817110121250152,g
59113.32596059982,19.66830444335937,0.1453371345996856,R
59114.324502300005,20.754499435424805,0.3066369891166687,g
59136.3292824002,20.60178565979004,0.2091903537511825,R
