time,mag,magerr,band
58526.17541670008,19.02750015258789,0.1124240010976791,R
58534.186747699976,17.541900634765625,0.0652260035276413,g
58538.1548843002,17.360000610351562,0.1526899933815002,R
58542.13707179995,17.496200561523438,0.0498029999434948,g
58547.15241899993,17.607099533081055,0.0622779987752437,R
58557.15162040014,18.39539909362793,0.1562010049819946,g
58557.21290510008,18.18709945678711,0.1286049932241439,R
58558.13072919985,18.762699127197266,0.1342409998178482,g
58558.16518520005,18.153099060058597,0.101342000067234,R
58560.18584490009,18.68563842773437,0.1987812221050262,g
58562.14627309982,18.107999801635746,0.1340710073709488,R
58567.16452550003,19.307899475097656,0.1199669986963272,g
58585.13809029991,18.86216926574707,0.1778723448514938,R
