ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
17.03280258178711,59061.39584490005,0.038588687777519226,R,1
16.5999755859375,59062.3973495001,0.04338570311665535,g,1
16.114870071411133,59064.40744209987,0.028645947575569156,R,1
15.669951438903807,59066.41724540014,0.03484563156962395,g,1
15.776310920715332,59066.46018519998,0.02633518166840076,R,1
15.260882377624512,59073.39842589991,0.029848942533135414,g,1
15.313201904296875,59073.45704860008,0.02742568962275982,R,1
15.277758598327635,59075.4521296001,0.034808304160833366,g,1
15.220602989196776,59076.398182900164,0.03799978271126747,R,1
15.278509140014648,59076.44358799978,0.02686319872736931,g,1
15.231332778930664,59079.42059030012,0.032010871917009354,R,1
15.40114974975586,59082.417499999974,0.03514643758535385,g,1
15.37024211883545,59082.46001160005,0.020982466638088226,R,1
15.54904079437256,59085.41024310003,0.024679051712155342,g,1
15.678189277648926,59086.39729169988,0.0322117954492569,R,1
16.113361358642578,59092.365266200155,0.048317130655050285,g,1
15.980748176574707,59094.39723380003,0.025872033089399338,R,1
16.26973533630371,59094.468877300154,0.04268541559576988,g,1
15.996899604797365,59099.33668980002,0.03044999949634075,R,1
16.806999206542972,59099.3942477,0.0478379987180233,g,1
16.27340316772461,59107.309224499855,0.031639616936445236,R,1
17.539691925048828,59110.337175900124,0.0572761744260788,g,1
16.67799949645996,59113.34825230017,0.033032998442649834,R,1
17.71435546875,59114.33870369988,0.04211694747209549,g,1
16.782255172729492,59115.3772454001,0.028449550271034237,R,1
17.732421875,59115.42305559991,0.05070897936820984,g,1
16.824348449707028,59116.4135532002,0.04178112000226975,R,1
17.825498580932614,59117.33237269986,0.05641920119524003,g,1
16.89719581604004,59118.328391199924,0.030835123732686043,R,1
17.86960792541504,59119.35792820017,0.05856427177786828,g,1
16.986366271972653,59119.379386600114,0.034449756145477295,R,1
17.86819076538086,59120.455856500186,0.06208826974034309,g,1
16.98643684387207,59120.49626159994,0.03459319844841957,R,1
17.97688865661621,59126.280636600226,0.10302859544754027,g,1
17.152162551879886,59126.317592599895,0.045078832656145096,R,1
17.982006072998047,59128.297557900194,0.1028633564710617,g,1
17.33880615234375,59130.29947920004,0.031883399933576584,R,1
18.156099319458008,59134.274502300184,0.08379700034856796,g,1
17.519920349121097,59136.31043979991,0.03953814506530762,R,1
18.168907165527344,59138.2567245001,0.09922689199447632,g,1
17.819231033325195,59144.23318290013,0.05278731882572174,R,1
18.268957138061523,59144.316284699824,0.08785096555948257,g,1
17.7653751373291,59146.273541700095,0.04818136990070343,R,1
18.1962947845459,59153.233009300195,0.10686501115560533,g,1
18.168954849243164,59153.32788190013,0.07969848066568375,R,1
18.489824295043945,59155.21126159978,0.08177080750465393,g,1
18.146108627319336,59155.265393500216,0.06740230321884155,R,1
18.451229095458984,59164.26872690023,0.07775001972913742,g,1
18.52444076538086,59169.20765049989,0.06642907857894897,R,1
18.66724967956543,59171.23456020001,0.08991389721632004,g,1
18.901519775390625,59183.1061689998,0.13063451647758484,R,1
18.75830078125,59185.17265050019,0.10887199640274048,g,1
19.04986000061035,59185.21293980022,0.1081714853644371,R,1
18.91963005065918,59187.128356500056,0.09989479929208757,g,1
19.15204429626465,59190.15165509983,0.0984652265906334,R,1
18.993804931640625,59193.184016199775,0.11631813645362855,g,1
19.13985252380371,59193.228379600216,0.09465809166431427,R,1
18.95043182373047,59195.170509300195,0.08609610795974731,g,1
19.336376190185547,59195.199155100156,0.11291415989398955,R,1
19.152650833129886,59215.085706000216,0.15647906064987185,g,1
19.97857093811035,59219.17217590008,0.19363218545913696,R,1
19.40412139892578,59223.204178200096,0.17214274406433105,g,1
