time,mag,magerr,band
58673.30149309989,19.868600845336918,0.2070049941539764,g
58676.21487270016,18.48730087280273,0.0971949994564056,R
58676.29668979999,18.5310001373291,0.0850159972906112,g
58679.21988430014,17.938600540161133,0.0618380010128021,R
58682.17572919978,17.859500885009766,0.0818710029125213,g
58682.24331020005,17.733400344848633,0.0563509985804557,R
58685.19454859989,17.788999557495117,0.0641330033540725,g
58692.184803199954,17.974599838256836,0.0694539994001388,R
58698.2018519002,18.64780044555664,0.2408210039138794,g
58712.2419906999,19.03385734558105,0.107665404677391,R
58715.15936340019,20.045921325683597,0.1960365176200866,g
