ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
20.56049919128418,59339.471238399856,0.35459598898887634,R,1
20.29829978942871,59341.347187499974,0.2481199949979782,g,1
19.51736068725586,59343.36199070001,0.1547423005104065,R,1
19.42650032043457,59345.435300900135,0.14995047450065613,g,1
19.28172874450684,59345.4695485998,0.11528981477022172,R,1
19.126998901367188,59348.3928704001,0.11631153523921968,g,1
19.02098274230957,59348.43443290005,0.0875285267829895,R,1
19.005489349365234,59353.39310189989,0.17763105034828186,g,1
18.86949920654297,59354.429560199846,0.13069599866867065,R,1
19.229400634765625,59359.299733799875,0.21287499368190765,g,1
18.834667205810547,59362.32741900021,0.11031651496887207,R,1
19.928300857543945,59364.37016199995,0.21231399476528168,g,1
19.023500442504886,59364.429884300094,0.11150799691677094,R,1
19.978893280029297,59366.324548599776,0.2053711861371994,g,1
19.15882110595703,59368.42166669992,0.09801866114139557,R,1
20.374000549316406,59370.40467590001,0.23845699429512024,g,1
19.332712173461914,59371.350949100226,0.11271066963672638,R,1
20.74250030517578,59371.388125000056,0.33819499611854553,g,1
19.401973724365234,59373.415624999914,0.11667817085981368,R,1
20.997699737548828,59373.42710650014,0.4042060077190399,g,1
19.86931037902832,59384.348715300206,0.1963125467300415,R,1
