ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
19.66349983215332,58583.372222200036,0.18519900739192965,g,1
19.110300064086914,58586.35385419987,0.10569100081920624,R,1
18.959199905395508,58586.40012730006,0.10664699971675873,g,1
18.756099700927734,58589.2385764001,0.2113720029592514,R,1
18.398000717163086,58592.436689800124,0.1288979947566986,g,1
18.36079978942871,58596.296145800035,0.08305200189352037,R,1
18.241199493408203,58596.45872690016,0.08225099742412567,g,1
18.731000900268555,58606.314675900154,0.0886949971318245,R,1
18.67180061340332,58606.41841439996,0.08806700259447098,g,1
18.75830078125,58608.26528939977,0.08796799927949905,R,1
19.1067008972168,58612.277592599865,0.10456199944019318,g,1
19.002099990844727,58612.46409719996,0.11307500302791595,R,1
19.345199584960934,58616.27921300009,0.14716799557209015,g,1
20.15982437133789,58641.28292819997,0.16285590827465055,R,1
