time,mag,magerr,band
59187.37324069999,18.50745391845703,0.1294905543327331,g
59194.34190970007,17.845300674438477,0.0443889982998371,R
59196.33901620004,17.75234031677246,0.0640718638896942,g
59198.26531249983,17.763513565063477,0.0558391883969306,R
59200.30589119997,17.79887580871582,0.0670890286564827,g
59203.28226849996,17.859481811523438,0.0575161911547184,R
59203.31712959986,17.96751594543457,0.0709170699119567,g
59205.17357640015,17.987899780273438,0.0497229993343353,R
59215.15886570001,18.974000930786133,0.2792420089244842,g
59215.238576400094,18.414478302001957,0.0833620503544807,R
59217.24092590017,19.10235023498535,0.1768860518932342,g
59221.23892359994,18.47307586669922,0.0702471137046814,R
59223.17750000022,19.62404060363769,0.1682286113500595,g
59223.25540510006,18.588428497314453,0.0674418434500694,R
59225.22201390006,19.82099914550781,0.1892549991607666,g
59225.26513889991,18.6446533203125,0.0686003416776657,R
59227.220671299845,19.87031555175781,0.1777074187994003,g
59227.26231480017,18.73148536682129,0.0622232072055339,R
59229.228703700006,20.05769920349121,0.3162969946861267,g
59231.20239580004,18.990123748779297,0.0941938012838363,R
59231.23938659998,20.13610076904297,0.3073430061340332,g
59264.17385420017,20.145057678222656,0.2094049006700515,R
