ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
20.042299270629886,59334.45403939997,0.2826850116252899,g,1
19.754199981689453,59336.392754599925,0.1484519988298416,R,1
19.89559936523437,59336.43171299994,0.1909710019826889,g,1
19.43907356262207,59339.336203699924,0.12597240507602692,R,1
19.40300750732422,59342.37674769992,0.10935362428426744,g,1
19.09272766113281,59342.41853010002,0.10310506820678712,R,1
19.371383666992188,59345.40170140006,0.09105312079191208,g,1
18.988033294677734,59345.44238429982,0.12334202229976655,R,1
19.60816764831543,59353.35627309977,0.14657051861286166,g,1
19.83930015563965,59363.385254600085,0.2551189959049225,R,1
20.44939994812012,59365.31481479992,0.22438600659370425,g,1
19.766048431396484,59367.356053200085,0.1487693041563034,R,1
