time,mag,magerr,band
58278.28268520022,19.77395248413086,0.1193317174911499,R
58278.36486109998,20.18118667602539,0.1376121789216995,g
58281.21781249996,19.346559524536133,0.080842524766922,R
58284.26034720009,19.243202209472656,0.0619908235967159,g
58287.26408560015,18.901660919189453,0.0510311909019947,R
58293.22145830002,18.9930362701416,0.1663664430379867,g
58296.24978009984,18.606264114379883,0.0973419845104217,R
58299.18219910003,19.158300399780277,0.1107549965381622,g
58305.186701400205,18.682899475097656,0.0952659994363784,R
58308.20046300022,19.534900665283203,0.1447670012712478,g
58314.20164350001,18.844655990600582,0.0796446725726127,R
58319.17642359994,19.80279922485352,0.2450329959392547,g
58331.195763899945,19.325475692749023,0.1148740723729133,R
58331.24549769983,20.372499465942383,0.2917810082435608,g
58334.16596060013,19.357425689697266,0.1240405514836311,R
58337.180081000086,20.414600372314453,0.2980439960956573,g
58343.15954860021,19.47982406616211,0.1550635397434234,R
58346.15598380007,20.636999130249023,0.3691970109939575,g
58368.16000000015,19.939617156982425,0.1807881444692611,R
58368.19770829985,20.697599411010746,0.325901985168457,g
58374.132129599806,20.12411880493164,0.1845269054174423,R
