time,mag,magerr,band
59313.49781250022,20.272600173950195,0.2805989980697632,g
59316.49627309991,19.407081604003903,0.1298633068799972,R
59320.45778940013,18.763731002807617,0.1339874565601349,g
59320.49209489999,18.926897048950195,0.1511721909046173,R
59323.47739579994,18.59882926940918,0.0903598144650459,g
59328.41526619997,18.75250625610352,0.1375156641006469,R
59328.48244210007,18.68882369995117,0.0979343131184578,g
59334.40125000011,18.90924453735352,0.151323989033699,R
59334.45950229978,19.03319931030273,0.1820469945669174,g
59339.46491899993,19.12107276916504,0.1251490265130996,R
59344.4740046002,19.747896194458008,0.1837135404348373,g
59349.45767359994,19.578205108642575,0.1475932896137237,R
