ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
20.13479995727539,59339.33188659978,0.22154800593853,R,1
19.69976234436035,59341.32053240017,0.13964273035526276,g,1
19.862733840942386,59341.403229199816,0.17327140271663666,R,1
19.414600372314453,59343.28209490003,0.1098710000514984,g,1
19.29543876647949,59345.344016199924,0.09972142428159714,R,1
19.16803359985352,59345.416423600174,0.08153197914361954,g,1
19.02469062805176,59349.3212036998,0.08544815331697464,R,1
18.984729766845703,59349.385729200214,0.0885983556509018,g,1
18.967702865600586,59358.316331000075,0.15581704676151276,R,1
19.111879348754886,59361.31537039997,0.1868785172700882,g,1
19.0670223236084,59361.38247689977,0.12124678492546083,R,1
19.28859138488769,59363.27824069979,0.14967018365859985,g,1
19.199800491333008,59363.37721059984,0.12719400227069855,R,1
19.5301513671875,59365.33043979992,0.12130118906497955,g,1
19.493526458740234,59369.319502300124,0.10340087860822678,R,1
19.983482360839844,59371.369629600085,0.1466965228319168,g,1
19.67353630065918,59376.29800930014,0.12224034965038301,R,1
20.411130905151367,59376.337754600216,0.20539171993732447,g,1
19.66542625427246,59378.29706020001,0.14464478194713593,R,1
20.624000549316406,59378.34988430003,0.3063389956951141,g,1
20.40660285949707,59396.32427080022,0.1895923763513565,R,1
