ant_mag,ant_mjd,ant_magerr,ant_passband,ant_survey
20.084400177001953,59096.34361110022,0.3275730013847351,R,1
19.53820037841797,59097.43506939989,0.20099399983882904,g,1
19.11420440673828,59104.40093749993,0.14851346611976626,R,1
19.06279945373535,59107.37839120022,0.09903399646282196,g,1
19.04703140258789,59107.43616899987,0.0738755613565445,R,1
19.1117000579834,59109.35356480022,0.19248199462890625,g,1
19.14080047607422,59109.40040510008,0.10772600024938583,R,1
19.079103469848636,59110.34446759988,0.12069358676671982,g,1
18.96123504638672,59110.4468866,0.06582837551832199,R,1
19.161296844482425,59111.35263889981,0.10185065865516664,g,1
19.22709846496582,59113.32829859993,0.08467484265565872,R,1
19.31740951538086,59113.382338,0.09281158447265624,g,1
19.32627868652344,59115.333449100144,0.096700482070446,R,1
19.394271850585934,59116.30532409996,0.1225750595331192,g,1
19.30157852172852,59116.40082179987,0.11389201879501346,R,1
19.43474578857422,59117.309224499855,0.13551659882068634,g,1
19.632640838623047,59118.28417820018,0.19150693714618686,R,1
19.89940071105957,59122.286840300076,0.2680779993534088,g,1
19.59772491455078,59122.390879599836,0.15367230772972107,R,1
20.255199432373047,59129.343634299934,0.2656860053539276,g,1
20.154863357543945,59129.47715280019,0.2123594582080841,R,1
20.30270004272461,59131.35082180007,0.2840690016746521,g,1
20.339021682739254,59142.291423600174,0.20548589527606964,R,1
