time,mag,magerr,band
59305.27478010021,19.022199630737305,0.1594229936599731,g
59305.29542820016,18.159194946289062,0.1504800468683242,R
59336.25026619993,17.940900802612305,0.0586329996585845,g
59338.21153939981,17.817459106445312,0.04453556984663,R
59340.211666699965,17.878822326660156,0.0582925975322723,g
59340.252453700174,17.821605682373047,0.0511676967144012,R
59342.25031250017,17.899904251098633,0.0606382191181182,g
59344.229305599816,17.846282958984375,0.0620469152927398,R
59347.17631939985,18.111093521118164,0.0698208734393119,g
59349.17519679992,18.074596405029297,0.0508366338908672,R
59349.19100689981,18.2750301361084,0.0834761783480644,g
59352.23630789993,18.33816909790039,0.1038650646805763,R
59358.25613430003,19.198299407958984,0.268649011850357,g
59370.26850689994,18.777456283569336,0.1233567222952842,R
