time,flux,fluxerr,band
1011.352,-1.554567,4.8021693,V
1022.3424,-8.362201,5.1533613,V
1025.351,14.185513,9.4972925,V
1038.2935,-4.4885917,6.1327066,V
1051.2896,-6.841251,6.664459,V
1061.3154,0.06717205,9.421627,V
1062.2382,-1.3147569,8.472085,V
1080.213,12.001787,6.631271,V
1081.1609,17.649708,7.9540033,V
1092.1885,-5.276116,6.8943286,V
1104.1208,-3.7433321,13.816224,V
1106.1193,-3.4837098,11.715339,V
1120.1038,-1.3123958,6.2831564,V
1123.0575,3.7815158,8.967609,V
1133.093,0.9699717,7.8787127,V
1148.9738,29.324707,7.501725,V
1152.044,27.131853,6.7277308,V
1159.9653,51.47246,15.790535,V
1377.3401,1.0797225,7.6157956,V
